Value,Quantity,References,Mouser Part Number,Adafruit Part Number
RPi_GPIO,1,J0,855-M20-6102045,2223
LED Drivers,1,J1,992-8FX1L-254MM,
GPIO,1,J2,517-929974-01-17-RK,
MPQ2222A,2,Q1 Q2,610-MPQ2222A,
1K,8,R1 R2 R3 R4 R5 R6 R7 R8,660-MS1/4DCT52R1001,
150,8,R9 R10 R11 R12 R13 R14 R15 R16,603-MFR-25FBF52-150R,
LED Cathodes,1,T1,651-1725711,
Common Anodes (+5V),1,T2,571-282834-2,
