"Source:","/home/heller/RRCircuits/ESP32-C3-Booster/ESP32-C3-Booster.sch"
"Date:","Sat 05 Nov 2022 03:21:31 PM EDT"
"Tool:","Eeschema 4.0.7+dfsg1-1ubuntu2"
"Generator:","/home/heller/RRCircuits/bom_csv_grouped_by_partnum.py"
"Component Count:","98"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Mouser2 Part Number","Mouser2 Price/Stock"
"","","IC202","USBLC6-2SC6","USBLC6-2SC6:USBLC6-2SC6","TO_SOT_Packages_SMD:SOT-23-6","https://componentsearchengine.com//USBLC6-2SC6.pdf","TVS Diode Array Uni-Directional USBLC6-2SC6 17V, SOT-23 6-Pin","1.45","STMicroelectronics","USBLC6-2SC6","511-USBLC6-2SC6","","511-USBLC6-2SC6","https://www.mouser.com/Search/Refine.aspx?Keyword=511-USBLC6-2SC6"
"","","J101","- Power + In -","conn:Screw_Terminal_01x03","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_PT-3.5mm_3pol","","","","","","651-544225","","",""
"","","J102","Output to tracks","conn:Screw_Terminal_01x02","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_PT-3.5mm_2pol","","","","","","651-5442248","","",""
"","","J201","USB_OTG","conn:USB_OTG","Connectors_USB:USB_Micro-B_Molex_47346-0001","","","","","","538-47346-0001","","",""
"","","J301","Termination","conn:Conn_02x02_Odd_Even","Pin_Headers:Pin_Header_Straight_2x02_Pitch2.54mm","","","","","","538-90131-0122 ","","",""
"","","J302","RJ45","conn:RJ45","RJ45-8N-S:RJ45_8N-S","","","","","","710-615008144221","","",""
"","","J303","RJ45","conn:RJ45","RJ45-8N-S:RJ45_8N-S","","","","","","710-615008144221","","",""
"","","J601","- Fan +","conn:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","","","","","","538-42375-1855","","",""
"","","L201","2.0nH","device:L_Small","Inductors_SMD:L_0402","","","","","","810-MLG1005S2N0ST000","","",""
"","","L401","330 mh","device:L","SRN1060:SRN1060","","","","","","652-SRN1060-331M","","",""
"","","M601","Fan_IEC60617","motors:Fan_IEC60617","FAN:25mmFanMount","","","","","","490-CFM2510B1100-218","","",""
"","","Q601","BSP52T3G","device:Q_NPN_Darlington_BCEC","TO_SOT_Packages_SMD:SOT-223","","","","","","863-BSP52T3G","","",""
"","","R101","3K","device:R","Resistors_SMD:R_0603","","","","","","660-RN73H1JT3001F100","","",""
"","","R102","2.4","device:R","Resistors_SMD:R_1206","","","","","","71-CRCW12062R40FKEA","","",""
"","","R103","3K","device:R","Resistors_SMD:R_0603","","","","","","660-RN73H1JT3001F100","","",""
"","","R201","10K","device:R","Resistors_SMD:R_0402","","","","","","603-RC0402JR-1310KL","","",""
"","","R202","10K","device:R","Resistors_SMD:R_0402","","","","","","603-RC0402JR-1310KL","","",""
"","","R203","10K","device:R","Resistors_SMD:R_0402","","","","","","603-RC0402JR-1310KL","","",""
"","","R204","0","device:R","Resistors_SMD:R_0402","","","","","","71-CRCW04020000Z0EDC","","",""
"","","R205","270","device:R","Resistors_SMD:R_0402","","","","","","754-RR0510P-271D","","",""
"","","R206","270","device:R","Resistors_SMD:R_0402","","","","","","754-RR0510P-271D","","",""
"","","R301","160","device:R","Resistors_SMD:R_0603","","","","","","603-AC0603JR-07160RL","","",""
"","","R302","160","device:R","Resistors_SMD:R_0603","","","","","","603-AC0603JR-07160RL","","",""
"","","R303","60","device:R","Resistors_SMD:R_1206","","","","","","71-CRCW120660R0KNAIF","","",""
"","","R304","60","device:R","Resistors_SMD:R_1206","","","","","","71-CRCW120660R0KNAIF ","","",""
"","","R501","10K","device:R","Resistors_SMD:R_0603","","","","","","279-CRGCQ0603F10K ","","",""
"","","R502","10K","device:R","Resistors_SMD:R_0603","","","","","","279-CRGCQ0603F10K","","",""
"","","R503","10K","device:R","Resistors_SMD:R_0603","","","","","","279-CRGCQ0603F10K","","",""
"","","R504","0.005 1%","device:R","Resistors_SMD:R_0612","","","","","","71-WSKW0612L5000FEA","","",""
"","","R505","2.2K","device:R","Resistors_SMD:R_0603","","","","","","603-AC0603FR-072K2L","","",""
"","","R506","10K","device:R","Resistors_SMD:R_0603","","","","","","279-CRGCQ0603F10K ","","",""
"","","R507","10K","device:R","Resistors_SMD:R_0603","","","","","","279-CRGCQ0603F10K ","","",""
"","","R601","1K","device:R","Resistors_SMD:R_0603","","","","","","279-CRGCQ0603F1K0","","",""
"","","SW201","RESET","switches:SW_Push","PTS647SN70SMTR2LFS:PTS647SM38SMTR2LFS","","","","","","611-PTS647SN70SMTR2L","","",""
"","","SW202","BOOT","switches:SW_Push","PTS647SN70SMTR2LFS:PTS647SM38SMTR2LFS","","","","","","611-PTS647SN70SMTR2L","","",""
"","","T301","LCC Power Out","conn:Screw_Terminal_01x02","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","","","","","651-1725656","","",""
"","","T302","LCC Power In","conn:Screw_Terminal_01x02","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","","","","","651-1725656","","",""
"","","U101","INA180B","ina180b:INA180B","TO_SOT_Packages_SMD:SOT-23-5","","","","","","595-INA180B3IDBVR","","",""
"","","U301","LM358","linear:LM358","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","","","","","595-LM358BIDR","","",""
