Value,Quantity,References,Mouser Part Number,Adafruit Part Number
10 uf, 50V,2,C3 C4,140-REA100M1HBK0511P
10 pf,2,C1 C2,594-S100K25SL0N63L6R,
6A05-T,2,D1 D2,621-6A05-T,
MCT6H,1,IC1,782-MCT6H,
RPi_GPIO,1,J0,855-M20-6102045,2223
TIP120,2,Q1 Q2,863-TIP120G,
270 Ohms,2,R1 R2,603-CFR-25JR-52-270R,
1K Ohms,6,R3 R4 R7 R8 R9 R10,279-2-1623927-3,
510K Ohms,2,R5 R6,660-CF1/4CT52R514J,
500K Ohms,2,RV1 RV2,652-3309P-1-504,
Uncoupler 1;Uncoupler 2,2,T1 T2,571-2828374,
LM556N,1,U1,926-LM556CN/NOP,
