Value,Quantity,References,Mouser Part Number,Adafruit Part Number
MPQ6002,4,Q1 Q2 Q3 Q4,610-MPQ6002,
1.5K Ohms,8,R1 R5 R9 R13 R17 R21 R25 R29,603-CFR-25JR-52-1K5,
10K Ohms,8,R2 R6 R10 R14 R18 R22 R26 R30,603-CFR-25JR-5210K,
2K Ohms,8,R3 R7 R11 R15 R19 R23 R27 R31,603-CFR-25JR-522K,
150 Ohms,8,R4 R8 R12 R16 R20 R24 R28 R32,588-OK1515E-R52,
GPIO (3.3V),1,T1,651-1725737,2x 651-1725685 
LED Power (5V),2,T2 T4,651-1725656,
LEDs (Common Cathode),1,T3,651-1725724,
