Value,Quantity,References,Mouser Part Number,Adafruit Part Number
10uf 25V,1,C1,598-SK100M025ST,
100pf 50V,1,C2,TAP104M035DCS  ,
RPi_GPIO,1,J0,855-M20-6102045,2223
Signal 1;Signal 2;Signal 3;Signal 4;Signal 5;Signal 6;Signal 7;Signal 8,8,J1 J2 J3 J4 J5 J6 J7 J8,538-70246-1001,
SIL 3 header,1,J9,538-22-28-8034,
33K Ohms,1,R1,660-MF1/4LCT52R333G,
0 Ohms;0 Omhs,2,R2 R3,,
MAX7221,1,U1,700-MAX7221CNG,
74AHCT125,1,U2,595-SN74AHCT125N,
