Value,Quantity,References,Mouser Part Number,Adafruit Part Number
10 nf,12,C1 C2 C3 C4 C5 C6 C9 C10 C11 C12 C13 C14,21RZ410-RC,
.1 uf,2,C7 C8,21RZ310-RC,
RPI_GPIO,1,J0,855-M20-6102045,2223
Buttons 1 to 6;Buttons 7 to 12,2,J1 J2,538-90147-1106,
GPIO,1,J3,517-929974-01-17-RK,
10K Ohms,12,R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12,71-CCF5010K0FKE36,
Buttons 1 to 6;Buttons 7 to 12,2,T1 T3,651-1725698,
Ground,1,T2,571-282834-2,
74AHC14,2,U1 U2,595-SN74AHC14N,
