"Source:","/home/heller/RRCircuits/ESP32-PWMHalfSidingSMD/ESP32-PWMHalfSidingSMD.sch"
"Date:","Fri 17 Dec 2021 03:16:03 PM EST"
"Tool:","Eeschema 4.0.7+dfsg1-1ubuntu2"
"Generator:","/usr/lib/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","63"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mouser Part Number"
"","","RP601","1.5K Ohms","ESP32-PWMHalfSidingSMD-cache:R_PACK8","48xxP:4816P","","652-4816P-T1LF-1.5K"
"","","RP602","1.5K Ohms","ESP32-PWMHalfSidingSMD-cache:R_PACK8","48xxP:4816P","","652-4816P-T1LF-1.5K"
"","","RR101","10K Ohms","4814p-2:4814P-2","48xxP:4814P","","652-4814P-T2LF-10K"
"","","T1","- 15 in +","ESP32-PWMHalfSidingSMD-cache:CONN_2","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","651-1725656"
"","","T2","- 15 out +","ESP32-PWMHalfSidingSMD-cache:CONN_2","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","651-1725656"
"","","T3","In Track1 Out","ESP32-PWMHalfSidingSMD-cache:CONN_2","Connectors:bornier2","","490-TB007-508-02BE"
"","","T4","Motor 1","ESP32-PWMHalfSidingSMD-cache:CONN_5","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_5pol","","651-1725685"
"","","T5","Motor 2","ESP32-PWMHalfSidingSMD-cache:CONN_5","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_5pol","","651-1725685"
"","","T6","In Track2 Out","ESP32-PWMHalfSidingSMD-cache:CONN_2","Connectors:bornier2","","490-TB007-508-02BE"
"","","T601","+ 12V -","ESP32-PWMHalfSidingSMD-cache:CONN_2","Connectors_Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol","","651-1725656"
"","","U0","ESP32_DEVKIT_C or TTGO-T1","esp32_devboards:ESP32_DEVKIT_C","ESP32-Boards:ESP32-Combo","","2x 517-929974-01-19-RK, 1x 517-929850-01-18-10"
"","","U1","TCAN332DR","sn65hvd233-ht:TCAN332DR","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","595-TCAN332DR"
"","","U3","LM2574N-5.0","lm2574n-5:LM2574HVM-5.0","SOIC_Wide:SOIC-14_7.4x8.7mm_Pitch1.27mm","","926-LM2574N-5.0/NOPB"
"","","U7","TC4428","tc442x:TC4428","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","579-TC4428VOA"
"","","U8","TC4428","tc442x:TC4428","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","579-TC4428VOA"
"","","U9","74HCT00","74xx:74HCT00","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm","","595-SN74AHC00D"
"","","U601","PCA9685","pca9685:PCA9685","Housings_SSOP:TSSOP-28_4.4x9.7mm_Pitch0.65mm","","771-PCA9685PW,118"
"","","U602","TBD62X83A","tbd62x83a:TBD62X83A","Housings_SOIC:SOIC-18W_7.5x11.6mm_Pitch1.27mm","","757-TBD62083AFG or 757-TBD62783AFG"
